"Story","Title","Result","Date","Stability","Duration (s)"
"Automation Google Homepage","User can search with �Google Search�","SUCCESS","2020-05-28T16:16:12.691-05:00[America/Bogota]","0.0","21.86"
"Google Homepage Search","User can search by using the suggestions","SUCCESS","2020-05-28T16:16:37.473-05:00[America/Bogota]","0.0","20.37"
